epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,811.73,1.35747,1.00074,0.98969,0.41433,0.30355,0.29888,0.17137,1.33501,0.99001,0.96491,0.009307,0.009307,0.009307
23,848.511,1.34817,0.99754,0.98503,0.42308,0.31347,0.30945,0.17606,1.32444,0.98038,0.9595,0.009274,0.009274,0.009274
24,885.368,1.33644,0.97696,0.98828,0.41554,0.30629,0.30275,0.17504,1.31187,0.97547,0.95709,0.009241,0.009241,0.009241
25,922.28,1.3313,0.96902,0.98206,0.42928,0.31803,0.31303,0.18031,1.31774,0.9602,0.95897,0.009208,0.009208,0.009208
26,959.114,1.32493,0.962,0.98189,0.44677,0.32157,0.31971,0.18571,1.30287,0.94786,0.95584,0.009175,0.009175,0.009175
27,995.964,1.31833,0.95387,0.98245,0.43731,0.32616,0.32188,0.18713,1.29963,0.95288,0.95221,0.009142,0.009142,0.009142
28,1032.89,1.30858,0.94554,0.97696,0.4522,0.3152,0.32121,0.18509,1.29651,0.94513,0.95362,0.009109,0.009109,0.009109
29,1069.64,1.30624,0.93817,0.97313,0.4401,0.31858,0.32026,0.18658,1.28469,0.94985,0.9506,0.009076,0.009076,0.009076
30,1106.46,1.29558,0.9326,0.97275,0.44282,0.33065,0.33012,0.19173,1.2873,0.92901,0.95015,0.009043,0.009043,0.009043
31,1143.39,1.29364,0.92523,0.97069,0.44249,0.32917,0.32918,0.1912,1.28349,0.9366,0.94914,0.00901,0.00901,0.00901
32,1180.19,1.29015,0.9217,0.97038,0.44659,0.31998,0.32679,0.19119,1.27982,0.93441,0.9476,0.008977,0.008977,0.008977
33,1217.01,1.28165,0.91003,0.96821,0.45873,0.3277,0.33486,0.19414,1.27133,0.9294,0.94474,0.008944,0.008944,0.008944
34,1253.93,1.27772,0.90529,0.96586,0.46677,0.33059,0.33984,0.19986,1.27492,0.91882,0.94463,0.008911,0.008911,0.008911
35,1290.69,1.30224,0.92052,0.96566,0.46118,0.33884,0.34368,0.20211,1.28925,0.92893,0.9403,0.008878,0.008878,0.008878
36,1327.63,1.2974,0.91283,0.96015,0.46009,0.33709,0.34431,0.20347,1.30238,0.93472,0.94109,0.008845,0.008845,0.008845
37,1364.49,1.2992,0.91866,0.95747,0.45977,0.33829,0.34214,0.20189,1.30016,0.94095,0.93703,0.008812,0.008812,0.008812
38,1401.38,1.29649,0.91737,0.95468,0.45759,0.34603,0.3457,0.20526,1.28959,0.94123,0.93245,0.008779,0.008779,0.008779
39,1438.08,1.29424,0.91362,0.95044,0.4676,0.34092,0.34965,0.20533,1.288,0.93329,0.93125,0.008746,0.008746,0.008746
40,1473.66,1.28103,0.90231,0.94955,0.46336,0.35267,0.35695,0.21029,1.28026,0.92688,0.92863,0.008713,0.008713,0.008713
41,1509.11,1.28151,0.90174,0.94885,0.46292,0.34879,0.35267,0.2076,1.28466,0.92994,0.93046,0.00868,0.00868,0.00868
42,1545.88,1.27442,0.89552,0.94622,0.47002,0.34754,0.35414,0.20947,1.27774,0.92193,0.92903,0.008647,0.008647,0.008647
43,1582.49,1.27276,0.8937,0.94542,0.46801,0.35119,0.35765,0.21127,1.2758,0.91841,0.92868,0.008614,0.008614,0.008614
44,1618.99,1.27045,0.8844,0.9443,0.49211,0.34475,0.35987,0.21417,1.26705,0.91376,0.92361,0.008581,0.008581,0.008581
45,1655.78,1.26741,0.88239,0.94182,0.46375,0.36104,0.35974,0.21352,1.2646,0.91021,0.92475,0.008548,0.008548,0.008548
46,1692.67,1.26625,0.88115,0.94224,0.48203,0.35483,0.36341,0.21593,1.2614,0.90745,0.92402,0.008515,0.008515,0.008515
47,1729.76,1.25752,0.87167,0.93963,0.48541,0.35364,0.36402,0.21553,1.2625,0.90451,0.92538,0.008482,0.008482,0.008482
48,1766.71,1.25307,0.86997,0.93907,0.47461,0.35668,0.36505,0.21647,1.25828,0.90089,0.92351,0.008449,0.008449,0.008449
49,1803.78,1.25849,0.86866,0.93993,0.47799,0.35801,0.36783,0.21885,1.25954,0.90032,0.92308,0.008416,0.008416,0.008416
50,1840.96,1.25077,0.86549,0.93659,0.47888,0.36208,0.37245,0.2212,1.25294,0.89723,0.92036,0.008383,0.008383,0.008383
51,1877.87,1.24319,0.85723,0.93562,0.49051,0.35973,0.37099,0.22016,1.25618,0.89442,0.92233,0.00835,0.00835,0.00835
52,1913.9,1.2395,0.85295,0.93433,0.47966,0.3632,0.36909,0.21876,1.2505,0.89065,0.92106,0.008317,0.008317,0.008317
53,1950.73,1.24106,0.8504,0.93417,0.48274,0.36291,0.37207,0.22086,1.24773,0.89077,0.92079,0.008284,0.008284,0.008284
54,1987.6,1.23241,0.84484,0.93318,0.49856,0.35766,0.37393,0.22191,1.24772,0.88661,0.92045,0.008251,0.008251,0.008251
55,2024.52,1.23511,0.84288,0.93229,0.48863,0.36473,0.37263,0.22317,1.24627,0.88897,0.92051,0.008218,0.008218,0.008218
56,2061.44,1.23295,0.84048,0.93296,0.48181,0.36506,0.37334,0.22333,1.23854,0.88682,0.91914,0.008185,0.008185,0.008185
57,2098.37,1.22869,0.83556,0.93105,0.48535,0.37167,0.37559,0.22525,1.2345,0.88268,0.91848,0.008152,0.008152,0.008152
58,2134.68,1.22835,0.83361,0.93167,0.48289,0.36992,0.3771,0.22526,1.23625,0.87999,0.91882,0.008119,0.008119,0.008119
59,2171.39,1.22175,0.82646,0.92906,0.48204,0.37851,0.38019,0.22747,1.23599,0.87669,0.91878,0.008086,0.008086,0.008086
60,2208.3,1.22137,0.82399,0.92885,0.50283,0.36705,0.37876,0.22478,1.23463,0.87421,0.91814,0.008053,0.008053,0.008053
61,2245.13,1.21585,0.81945,0.92735,0.49376,0.37473,0.38276,0.22817,1.23218,0.87235,0.91768,0.00802,0.00802,0.00802
62,2281.26,1.21521,0.82011,0.92569,0.50143,0.37108,0.38243,0.22737,1.22958,0.87094,0.91576,0.007987,0.007987,0.007987
63,2317.2,1.21146,0.81584,0.92555,0.49525,0.37826,0.38492,0.22909,1.22693,0.86868,0.91624,0.007954,0.007954,0.007954
64,2354.04,1.21246,0.81294,0.92466,0.50566,0.36919,0.38475,0.22849,1.23338,0.87131,0.91811,0.007921,0.007921,0.007921
65,2390.92,1.21186,0.81283,0.92548,0.48806,0.3739,0.38368,0.22837,1.22267,0.86987,0.91551,0.007888,0.007888,0.007888
66,2427.77,1.20987,0.81097,0.9244,0.49158,0.38348,0.3875,0.23119,1.22644,0.86303,0.91521,0.007855,0.007855,0.007855
67,2464.54,1.20365,0.80376,0.92449,0.50499,0.37386,0.38602,0.23184,1.22141,0.86755,0.91371,0.007822,0.007822,0.007822
68,2501.45,1.20313,0.80134,0.92329,0.49855,0.37862,0.38917,0.23345,1.22539,0.86371,0.91455,0.007789,0.007789,0.007789
69,2538.35,1.19925,0.7995,0.92146,0.49821,0.38072,0.39006,0.23307,1.22188,0.86066,0.91425,0.007756,0.007756,0.007756
70,2574.95,1.19757,0.79426,0.92325,0.50084,0.38159,0.39048,0.23434,1.21626,0.85525,0.91215,0.007723,0.007723,0.007723
71,2611.52,1.19475,0.7935,0.92091,0.49568,0.3781,0.3891,0.23339,1.21673,0.8577,0.91255,0.00769,0.00769,0.00769
72,2648.15,1.19103,0.7884,0.92038,0.49839,0.38353,0.39157,0.23458,1.2172,0.85868,0.91269,0.007657,0.007657,0.007657
73,2684.7,1.19258,0.78828,0.92011,0.48808,0.38393,0.39142,0.23472,1.21377,0.85696,0.91224,0.007624,0.007624,0.007624
74,2721.11,1.18709,0.78243,0.91948,0.49477,0.38465,0.39369,0.23617,1.21355,0.85198,0.91177,0.007591,0.007591,0.007591
75,2757.99,1.18979,0.78228,0.92001,0.51682,0.3792,0.39473,0.23678,1.21443,0.85371,0.91287,0.007558,0.007558,0.007558
76,2794.64,1.18555,0.77702,0.91742,0.50886,0.38394,0.39474,0.23702,1.21204,0.85544,0.91221,0.007525,0.007525,0.007525
77,2831.61,1.18574,0.77877,0.91702,0.50771,0.38561,0.39628,0.23825,1.21523,0.85252,0.91288,0.007492,0.007492,0.007492
78,2868.17,1.18345,0.77516,0.91751,0.50664,0.38522,0.39568,0.23705,1.21221,0.85325,0.91188,0.007459,0.007459,0.007459
79,2904.74,1.17997,0.77051,0.91596,0.50902,0.38823,0.39778,0.23844,1.211,0.85061,0.91126,0.007426,0.007426,0.007426
80,2941.57,1.17763,0.76838,0.91641,0.51067,0.38891,0.40089,0.24122,1.20894,0.84742,0.91097,0.007393,0.007393,0.007393
81,2978.35,1.17308,0.76455,0.91465,0.50878,0.39028,0.39851,0.23944,1.21114,0.84733,0.91106,0.00736,0.00736,0.00736
82,3014.98,1.16915,0.76202,0.91454,0.51194,0.39014,0.39842,0.23988,1.20914,0.84704,0.91047,0.007327,0.007327,0.007327
83,3051.87,1.17219,0.7619,0.91543,0.51275,0.38931,0.39967,0.24083,1.20818,0.84383,0.9105,0.007294,0.007294,0.007294
84,3088.65,1.17321,0.75955,0.91436,0.51698,0.38743,0.39993,0.24115,1.20502,0.84267,0.91122,0.007261,0.007261,0.007261
85,3125.41,1.16725,0.75459,0.91213,0.50985,0.38779,0.39915,0.24099,1.20472,0.84424,0.91081,0.007228,0.007228,0.007228
86,3162.19,1.16935,0.75579,0.91014,0.50745,0.3894,0.39954,0.24064,1.20794,0.84675,0.91078,0.007195,0.007195,0.007195
87,3198.96,1.16854,0.75133,0.91197,0.51371,0.38591,0.40021,0.24086,1.2051,0.84469,0.91005,0.007162,0.007162,0.007162
88,3235,1.15729,0.74275,0.90968,0.51557,0.38816,0.39924,0.24001,1.20561,0.84448,0.90997,0.007129,0.007129,0.007129
89,3271.82,1.15867,0.74507,0.91118,0.52227,0.38413,0.40031,0.24081,1.20699,0.84467,0.91011,0.007096,0.007096,0.007096
90,3308.58,1.15955,0.74298,0.90902,0.50532,0.39226,0.40059,0.2413,1.20556,0.84561,0.91007,0.007063,0.007063,0.007063
91,3345.36,1.15771,0.74158,0.91283,0.51827,0.3871,0.4028,0.24175,1.20421,0.8442,0.90897,0.00703,0.00703,0.00703
92,3382.27,1.1585,0.73781,0.90908,0.52166,0.3895,0.40354,0.24274,1.20169,0.84255,0.90837,0.006997,0.006997,0.006997
93,3419.19,1.15622,0.73769,0.90961,0.52691,0.39062,0.40408,0.2438,1.2008,0.84261,0.90811,0.006964,0.006964,0.006964
94,3456.19,1.14903,0.73199,0.90887,0.52875,0.38843,0.40457,0.24413,1.19991,0.84278,0.9078,0.006931,0.006931,0.006931
95,3493.13,1.15119,0.73278,0.90702,0.51783,0.39313,0.40506,0.24424,1.19884,0.84173,0.90768,0.006898,0.006898,0.006898
96,3530.03,1.15182,0.73086,0.91027,0.52238,0.39257,0.40471,0.24355,1.1991,0.84145,0.90777,0.006865,0.006865,0.006865
97,3566.45,1.14863,0.72809,0.90738,0.52643,0.39109,0.40665,0.24507,1.19868,0.83888,0.90745,0.006832,0.006832,0.006832
98,3602.8,1.14605,0.72309,0.90617,0.52169,0.39183,0.40566,0.24476,1.19855,0.83877,0.90727,0.006799,0.006799,0.006799
99,3639.54,1.14304,0.72334,0.90566,0.52215,0.39383,0.40549,0.24393,1.19893,0.83914,0.90785,0.006766,0.006766,0.006766
100,3676.24,1.14542,0.72325,0.906,0.52735,0.38889,0.40383,0.24306,1.19962,0.84024,0.90794,0.006733,0.006733,0.006733
101,3713.06,1.142,0.72041,0.90696,0.52897,0.38766,0.40388,0.24281,1.19847,0.83898,0.90792,0.0067,0.0067,0.0067
102,3749.85,1.14159,0.71679,0.90487,0.5232,0.38994,0.40358,0.24338,1.19768,0.83943,0.90741,0.006667,0.006667,0.006667
103,3786.6,1.13461,0.7123,0.90375,0.51365,0.39246,0.40349,0.24345,1.19768,0.83948,0.90728,0.006634,0.006634,0.006634
104,3823.31,1.13799,0.71443,0.90472,0.51247,0.3941,0.40398,0.24443,1.19731,0.84002,0.90752,0.006601,0.006601,0.006601
105,3860.07,1.13324,0.71007,0.90306,0.51832,0.39119,0.40416,0.2445,1.19753,0.8396,0.90777,0.006568,0.006568,0.006568
106,3896.77,1.13703,0.70893,0.90483,0.52368,0.38752,0.40401,0.24389,1.19625,0.8389,0.90768,0.006535,0.006535,0.006535
107,3933.48,1.1301,0.704,0.90371,0.51699,0.39301,0.40517,0.24423,1.19708,0.8389,0.90755,0.006502,0.006502,0.006502
108,3970.32,1.13175,0.70427,0.904,0.51006,0.39629,0.40548,0.24447,1.19548,0.83821,0.90699,0.006469,0.006469,0.006469
109,4007.15,1.1295,0.70015,0.90121,0.52074,0.39119,0.40447,0.24382,1.19581,0.83787,0.90706,0.006436,0.006436,0.006436
110,4043.95,1.12837,0.69911,0.90184,0.52136,0.39059,0.40539,0.24428,1.1958,0.83964,0.90703,0.006403,0.006403,0.006403
111,4080.91,1.13153,0.70045,0.9018,0.52034,0.39092,0.40581,0.24366,1.19498,0.83972,0.9065,0.00637,0.00637,0.00637
112,4117.83,1.12371,0.69607,0.90062,0.51025,0.39528,0.40558,0.24347,1.19459,0.8389,0.90674,0.006337,0.006337,0.006337
113,4154.64,1.12257,0.69214,0.89959,0.51857,0.39309,0.40624,0.24473,1.19369,0.83829,0.90663,0.006304,0.006304,0.006304
114,4191.45,1.12464,0.69274,0.90094,0.51322,0.39681,0.40711,0.24441,1.19432,0.83851,0.90699,0.006271,0.006271,0.006271
115,4228.33,1.11997,0.68803,0.90065,0.52246,0.39607,0.40791,0.2447,1.19475,0.83918,0.90781,0.006238,0.006238,0.006238
116,4265.18,1.12163,0.68933,0.90134,0.52736,0.39352,0.4084,0.2451,1.19338,0.83856,0.90775,0.006205,0.006205,0.006205
117,4302.14,1.11782,0.68547,0.89618,0.5237,0.39555,0.40895,0.24596,1.19371,0.83788,0.90762,0.006172,0.006172,0.006172
118,4339.06,1.11389,0.68311,0.89874,0.51911,0.39782,0.40911,0.24581,1.19286,0.83779,0.90711,0.006139,0.006139,0.006139
119,4375.79,1.11571,0.68342,0.89701,0.51869,0.39701,0.40939,0.24674,1.19188,0.83794,0.9067,0.006106,0.006106,0.006106
120,4412.8,1.11471,0.6816,0.89572,0.52157,0.39811,0.40966,0.24654,1.19138,0.83822,0.90673,0.006073,0.006073,0.006073
121,4449.59,1.11307,0.67731,0.89682,0.51608,0.39909,0.40975,0.24676,1.19175,0.83888,0.90705,0.00604,0.00604,0.00604
122,4486.48,1.1085,0.67628,0.89552,0.52029,0.39766,0.40968,0.24675,1.19158,0.8394,0.907,0.006007,0.006007,0.006007
123,4523.32,1.10818,0.67283,0.89686,0.5172,0.39854,0.40933,0.24685,1.19154,0.83933,0.90704,0.005974,0.005974,0.005974
124,4560.19,1.10791,0.67265,0.89632,0.52132,0.39745,0.4098,0.24707,1.19124,0.83888,0.90708,0.005941,0.005941,0.005941
125,4597.05,1.10686,0.67226,0.89508,0.52477,0.39599,0.40926,0.24645,1.19149,0.83867,0.90703,0.005908,0.005908,0.005908
126,4633.6,1.10286,0.66893,0.89628,0.51992,0.39952,0.40908,0.24639,1.19119,0.8388,0.90691,0.005875,0.005875,0.005875
127,4670.09,1.10158,0.66689,0.89675,0.51903,0.39909,0.4092,0.24623,1.19166,0.83918,0.90714,0.005842,0.005842,0.005842
128,4706.81,1.10002,0.66433,0.89522,0.52062,0.39909,0.40945,0.24684,1.19169,0.83896,0.90703,0.005809,0.005809,0.005809
129,4743.53,1.09642,0.66291,0.89333,0.52208,0.4003,0.41017,0.24702,1.19141,0.83892,0.90702,0.005776,0.005776,0.005776
130,4780.34,1.09959,0.66158,0.89268,0.52547,0.39938,0.40948,0.24684,1.19082,0.83925,0.90678,0.005743,0.005743,0.005743
131,4817.09,1.09655,0.66018,0.89191,0.52312,0.40127,0.41061,0.24722,1.19089,0.83952,0.90685,0.00571,0.00571,0.00571
132,4854.05,1.0963,0.65722,0.89408,0.52516,0.40171,0.4105,0.2473,1.19059,0.83937,0.90676,0.005677,0.005677,0.005677
133,4890.91,1.09373,0.65379,0.89314,0.52675,0.40014,0.4105,0.24766,1.19077,0.84013,0.90672,0.005644,0.005644,0.005644
134,4927.93,1.08907,0.65188,0.89247,0.5219,0.40228,0.41061,0.24782,1.19011,0.8406,0.90669,0.005611,0.005611,0.005611
135,4964.8,1.08782,0.64984,0.89262,0.52349,0.40351,0.41095,0.24785,1.18931,0.84041,0.90657,0.005578,0.005578,0.005578
136,5001.66,1.091,0.64945,0.89141,0.52212,0.4043,0.4109,0.24794,1.18936,0.84041,0.90651,0.005545,0.005545,0.005545
137,5038.47,1.09195,0.65162,0.89191,0.52419,0.40271,0.41144,0.24802,1.18893,0.84074,0.90661,0.005512,0.005512,0.005512
138,5075.4,1.0894,0.64838,0.89147,0.53042,0.39993,0.41189,0.2485,1.18867,0.84068,0.90652,0.005479,0.005479,0.005479
139,5112.28,1.08655,0.64661,0.89133,0.52429,0.40419,0.41146,0.24822,1.18889,0.84107,0.90655,0.005446,0.005446,0.005446
140,5149.08,1.08255,0.64292,0.88901,0.52559,0.40371,0.41118,0.24831,1.18913,0.84097,0.90653,0.005413,0.005413,0.005413
141,5185.86,1.08363,0.64501,0.89035,0.5266,0.40372,0.41155,0.2484,1.1893,0.84147,0.90642,0.00538,0.00538,0.00538
142,5222.63,1.08288,0.6415,0.88886,0.52595,0.40296,0.41163,0.24853,1.18873,0.84151,0.90623,0.005347,0.005347,0.005347
143,5259.47,1.07818,0.63528,0.88939,0.52435,0.40323,0.41172,0.2484,1.18879,0.84136,0.90622,0.005314,0.005314,0.005314
144,5296.21,1.07762,0.63488,0.88851,0.5293,0.39886,0.41115,0.24801,1.18933,0.84174,0.9065,0.005281,0.005281,0.005281
145,5332.96,1.07991,0.63435,0.88968,0.53105,0.39892,0.4113,0.24771,1.18963,0.84197,0.90649,0.005248,0.005248,0.005248
146,5369.76,1.07808,0.63683,0.88791,0.53144,0.39879,0.4116,0.2477,1.18973,0.84217,0.90663,0.005215,0.005215,0.005215
147,5406.47,1.07549,0.6318,0.887,0.53059,0.39822,0.41137,0.24774,1.19004,0.84283,0.90675,0.005182,0.005182,0.005182
148,5443.33,1.0729,0.62956,0.88654,0.53346,0.39764,0.41165,0.2477,1.19019,0.84307,0.90676,0.005149,0.005149,0.005149
149,5480.01,1.07089,0.62827,0.8874,0.53498,0.39788,0.41176,0.24797,1.1903,0.84391,0.90668,0.005116,0.005116,0.005116
150,5516.89,1.07452,0.62986,0.8877,0.53564,0.39728,0.41138,0.24772,1.19053,0.84403,0.90673,0.005083,0.005083,0.005083
151,5553.77,1.06888,0.62608,0.88708,0.5341,0.39776,0.41114,0.24752,1.19065,0.84443,0.90684,0.00505,0.00505,0.00505
152,5590.67,1.06656,0.62171,0.88565,0.53697,0.39734,0.41117,0.24744,1.19033,0.84484,0.90674,0.005017,0.005017,0.005017
153,5627.51,1.06918,0.62391,0.88559,0.53241,0.39917,0.41116,0.24722,1.19061,0.84537,0.9067,0.004984,0.004984,0.004984
154,5664.37,1.0664,0.62092,0.88459,0.53292,0.40012,0.41121,0.24735,1.19061,0.84579,0.90665,0.004951,0.004951,0.004951
155,5701.2,1.06501,0.62117,0.88543,0.53328,0.39914,0.41101,0.24764,1.19046,0.84552,0.90666,0.004918,0.004918,0.004918
156,5738.06,1.06376,0.61843,0.8851,0.53334,0.39806,0.41088,0.24732,1.19026,0.84552,0.90664,0.004885,0.004885,0.004885
157,5774.8,1.06299,0.61526,0.88353,0.53304,0.39765,0.411,0.2473,1.19024,0.84565,0.9066,0.004852,0.004852,0.004852
158,5811.58,1.06153,0.61673,0.88373,0.53358,0.39758,0.41058,0.24748,1.19006,0.84571,0.90657,0.004819,0.004819,0.004819
